Date Time,Open,High,Low,Close,Volume
2015/6/16 9:35,11205.7538,11205.7538,11041.3378,11158.9535,10000
2015/6/16 9:40,11161.1387,11179.6044,11110.508,11110.508,10000
2015/6/16 9:45,11108.3517,11148.6622,11088.6056,11148.6622,10000
2015/6/16 9:50,11150.9955,11169.3309,11148.0971,11149.8777,10000
2015/6/16 9:55,11150.2057,11178.5195,11150.0201,11173.3889,10000
2015/6/16 10:00,11173.274,11173.967,11135.7656,11135.7656,10000
2015/6/16 10:05,11134.3573,11134.3573,11114.8165,11114.8165,10000
2015/6/16 10:10,11112.3391,11112.3391,10977.3731,10977.3731,10000
2015/6/16 10:15,10975.8599,11036.3238,10964.2249,11035.8798,10000
2015/6/16 10:20,11034.0889,11035.0924,10936.5861,10936.5861,10000
2015/6/16 10:25,10932.1595,10932.1595,10853.3293,10870.4219,10000
2015/6/16 10:30,10872.3839,10939.5881,10872.3839,10933.8684,10000
2015/6/16 10:35,10933.8182,10933.8182,10899.3239,10917.8137,10000
2015/6/16 10:40,10918.5513,10981.8305,10918.201,10981.1126,10000
2015/6/16 10:45,10981.32,10981.5865,10961.4453,10962.5022,10000
2015/6/16 10:50,10961.3796,11008.999,10959.0567,11008.999,10000
2015/6/16 10:55,11010.6385,11039.293,11010.6385,11018.8542,10000
2015/6/16 11:00,11017.4248,11017.4248,10983.5174,10995.3649,10000
2015/6/16 11:05,10995.336,11007.411,10993.2083,10993.9654,10000
2015/6/16 11:10,10991.7921,10992.0944,10970.0617,10978.5795,10000
2015/6/16 11:15,10978.6243,11032.6671,10978.6243,11032.6671,10000
2015/6/16 11:20,11033.0748,11035.0785,11024.6297,11035.0785,10000
2015/6/16 11:25,11035.2609,11072.6493,11035.2609,11072.6493,10000
2015/6/16 11:30,11073.1909,11101.2295,11073.1909,11100.447,10000
2015/6/16 13:05,11102.4402,11123.7517,11093.8454,11093.8454,10000
2015/6/16 13:10,11092.3143,11092.3143,11059.1422,11065.8936,10000
2015/6/16 13:15,11066.1137,11081.7577,11066.1137,11076.9011,10000
2015/6/16 13:20,11077.3322,11077.3322,11031.8042,11031.8042,10000
2015/6/16 13:25,11031.5995,11066.6459,11027.4806,11066.2763,10000
2015/6/16 13:30,11065.5563,11068.8722,11065.1928,11068.8722,10000
2015/6/16 13:35,11067.9593,11068.5899,11022.4708,11022.4708,10000
2015/6/16 13:40,11021.8781,11052.8164,11020.099,11050.5873,10000
2015/6/16 13:45,11050.2922,11050.4845,11026.9649,11026.9649,10000
2015/6/16 13:50,11026.1555,11029.6638,11010.6379,11029.5218,10000
2015/6/16 13:55,11030.7289,11051.0073,11030.7289,11051.0073,10000
2015/6/16 14:00,11051.0414,11051.293,11011.0575,11011.0575,10000
2015/6/16 14:05,11008.7168,11008.7168,10972.9114,10983.639,10000
2015/6/16 14:10,10985.0903,11019.6265,10985.0903,11005.6242,10000
2015/6/16 14:15,11005.3256,11005.3256,10950.4413,10950.4413,10000
2015/6/16 14:20,10947.2709,10947.2709,10889.8598,10940.5709,10000
2015/6/16 14:25,10944.6305,10963.5863,10928.3984,10928.3984,10000
2015/6/16 14:30,10926.7098,10948.3745,10921.1493,10948.3745,10000
2015/6/16 14:35,10948.5514,10949.5869,10898.2496,10898.2496,10000
2015/6/16 14:40,10896.6374,10896.6374,10779.1804,10779.2964,10000
2015/6/16 14:45,10777.4276,10883.5144,10768.615,10883.5144,10000
2015/6/16 14:50,10885.1806,10902.6087,10884.5547,10901.7915,10000
2015/6/16 14:55,10901.3559,10901.3559,10871.3953,10872.8982,10000
2015/6/16 15:00,10873.1181,10881.9437,10872.8539,10879.8358,10000
2015/6/17 9:35,10865.3946,10948.1534,10865.3946,10903.5921,10000
2015/6/17 9:40,10901.1049,10901.1049,10808.8224,10861.2932,10000
2015/6/17 9:45,10862.904,10894.3148,10862.904,10869.0927,10000
2015/6/17 9:50,10868.1554,10900.3197,10860.4812,10900.3197,10000
2015/6/17 9:55,10900.4116,10903.0094,10870.8505,10870.8505,10000
2015/6/17 10:00,10870.6391,10870.6391,10793.3379,10812.5315,10000
2015/6/17 10:05,10815.3496,10817.3642,10724.9372,10726.0383,10000
2015/6/17 10:10,10725.9063,10759.376,10725.9063,10738.3859,10000
2015/6/17 10:15,10737.0696,10737.0696,10630.1188,10630.1188,10000
2015/6/17 10:20,10630.4483,10700.1388,10627.9263,10700.1388,10000
2015/6/17 10:25,10701.1693,10704.2006,10652.9432,10652.9432,10000
2015/6/17 10:30,10651.1627,10681.003,10637.8949,10681.003,10000
2015/6/17 10:35,10681.5097,10684.169,10647.216,10647.216,10000
2015/6/17 10:40,10646.4367,10646.4367,10587.8284,10596.544,10000
2015/6/17 10:45,10597.8937,10615.763,10580.0516,10580.0516,10000
2015/6/17 10:50,10578.2047,10578.2047,10498.4134,10513.1178,10000
2015/6/17 10:55,10513.4039,10550.334,10513.4039,10550.334,10000
2015/6/17 11:00,10552.9024,10600.4846,10552.9024,10594.3228,10000
2015/6/17 11:05,10594.4347,10594.4347,10563.9174,10576.298,10000
2015/6/17 11:10,10576.1482,10639.7118,10573.8413,10639.7118,10000
2015/6/17 11:15,10643.5172,10691.2865,10643.5172,10688.8644,10000
2015/6/17 11:20,10688.4907,10688.4907,10631.1989,10637.8309,10000
2015/6/17 11:25,10639.5594,10659.0392,10639.5594,10658.0675,10000
2015/6/17 11:30,10658.7966,10678.7888,10658.0602,10678.4712,10000
2015/6/17 13:05,10680.7421,10700.6917,10680.7421,10685.0571,10000
2015/6/17 13:10,10685.12,10733.1986,10683.5176,10733.1986,10000
2015/6/17 13:15,10735.9124,10814.0089,10735.9124,10814.0089,10000
2015/6/17 13:20,10814.9348,10834.8299,10814.9348,10816.9558,10000
2015/6/17 13:25,10814.9133,10814.9133,10774.3578,10805.722,10000
2015/6/17 13:30,10806.2082,10891.7202,10806.2082,10891.7202,10000
2015/6/17 13:35,10893.6738,10920.9935,10891.5988,10891.5988,10000
2015/6/17 13:40,10888.5738,10888.5738,10836.7505,10858.8519,10000
2015/6/17 13:45,10860.6943,10875.9258,10860.5659,10860.5659,10000
2015/6/17 13:50,10859.7684,10888.3653,10845.6859,10888.3653,10000
2015/6/17 13:55,10888.8312,10943.1003,10888.8312,10938.9272,10000
2015/6/17 14:00,10939.0752,10939.0752,10915.4781,10933.3229,10000
2015/6/17 14:05,10934.6264,10986.5777,10934.6264,10986.5777,10000
2015/6/17 14:10,10986.4439,10990.1571,10963.259,10963.259,10000
2015/6/17 14:15,10962.5254,11002.7948,10958.4396,11002.7948,10000
2015/6/17 14:20,11003.9438,11061.0835,11003.9438,11061.0835,10000
2015/6/17 14:25,11061.7745,11071.2667,11038.8734,11038.8734,10000
2015/6/17 14:30,11037.3171,11080.5793,11032.7527,11080.5793,10000
2015/6/17 14:35,11082.3034,11113.0057,11082.3034,11108.8706,10000
2015/6/17 14:40,11108.4372,11108.4372,11091.1377,11098.7201,10000
2015/6/17 14:45,11099.7484,11133.1124,11099.7484,11127.2375,10000
2015/6/17 14:50,11127.7223,11127.7223,11085.8436,11085.8436,10000
2015/6/17 14:55,11084.7146,11095.5582,11083.6857,11095.5582,10000
2015/6/17 15:00,11095.3102,11101.2193,11092.8338,11100.5456,10000
2015/6/18 9:35,11093.2992,11093.2992,10991.5799,11089.6616,10000
2015/6/18 9:40,11090.3777,11097.2848,11047.8404,11097.2848,10000
2015/6/18 9:45,11099.2371,11154.0125,11099.2371,11126.8773,10000
2015/6/18 9:50,11126.6864,11162.3157,11124.887,11160.4238,10000
2015/6/18 9:55,11161.3832,11162.1463,11095.7658,11097.9071,10000
2015/6/18 10:00,11097.5322,11126.3055,11097.5322,11102.7109,10000
2015/6/18 10:05,11101.8744,11147.6336,11100.927,11147.6336,10000
2015/6/18 10:10,11149.544,11177.9756,11149.544,11177.0625,10000
2015/6/18 10:15,11177.9136,11178.3183,11145.1836,11145.1836,10000
2015/6/18 10:20,11143.7694,11164.5544,11136.3095,11153.6251,10000
2015/6/18 10:25,11153.3892,11153.3892,11139.7686,11151.9409,10000
2015/6/18 10:30,11151.537,11153.2254,11130.1863,11130.1863,10000
2015/6/18 10:35,11128.9383,11128.9383,11079.3794,11104.4897,10000
2015/6/18 10:40,11106.2729,11118.1055,11075.78,11075.78,10000
2015/6/18 10:45,11073.8758,11086.5928,11045.3866,11086.5928,10000
