Date Time,Open,High,Low,Close,Volume
2009/1/5,1969.631,2020.243,1962.62,2020.243,100
2009/1/6,2016.869,2093.601,2005.327,2091.892,100
2009/1/7,2092.737,2120.206,2082.55,2104.922,100
2009/1/8,2069.216,2087.155,2034.396,2052.3,100
2009/1/9,2050.322,2107.766,2050.322,2107.766,100
2009/1/12,2105.154,2162.346,2100.039,2137.841,100
2009/1/13,2116.109,2125.46,2078.056,2081.672,100
2009/1/14,2078.453,2160.064,2078.453,2160.064,100
2009/1/15,2143.046,2208.345,2135.701,2181.061,100
2009/1/16,2192.032,2228.9,2186.16,2195.634,100
2009/1/19,2209.131,2221.239,2166.085,2192.807,100
2009/1/20,2188.611,2214.839,2170.901,2214.839,100
2009/1/21,2187.182,2236.438,2178.538,2217.626,100
2009/1/22,2232.81,2260.502,2222.496,2256.367,100
2009/1/23,2253.321,2265.421,2233.501,2238.082,100
2009/2/2,2258.512,2306.769,2245.262,2306.769,100
2009/2/3,2307.886,2369.654,2300.982,2369.654,100
2009/2/4,2380.624,2423.923,2370.014,2423.887,100
2009/2/5,2421.363,2436.685,2362.233,2384.764,100
2009/2/6,2390.242,2496.592,2390.242,2493.74,100
2009/2/9,2528.801,2580.746,2500.537,2579.228,100
2009/2/10,2564.755,2653.213,2535.648,2653.213,100
2009/2/11,2609.007,2723.455,2594.926,2658.05,100
2009/2/12,2666.491,2707.922,2587.188,2707.922,100
2009/2/13,2714.637,2808.482,2704.655,2805.01,100
2009/2/16,2833.286,2854.562,2777.422,2854.444,100
2009/2/17,2844.215,2844.215,2734.372,2738.58,100
2009/2/18,2676.806,2736.593,2630.705,2632.908,100
2009/2/19,2661.601,2696.778,2629.343,2687.489,100
2009/2/20,2694.784,2776.955,2671.179,2776.955,100
2009/2/23,2769.626,2878.495,2753.849,2871.792,100
2009/2/24,2838.24,2884.014,2746.024,2754.24,100
2009/2/25,2780.335,2803.508,2677.264,2771.098,100
2009/2/26,2769.243,2800.205,2535.531,2571.276,100
2009/2/27,2528.597,2542.547,2396.313,2416.949,100
2009/3/2,2385.838,2485.025,2382.022,2478.808,100
2009/3/3,2416.107,2526.853,2398.805,2499.826,100
2009/3/4,2508.268,2654.398,2508.268,2651.405,100
2009/3/5,2680.324,2710.024,2608.134,2671.575,100
2009/3/6,2621.228,2676.362,2608.556,2653.469,100
2009/3/9,2661.954,2692.748,2528.605,2536.01,100
2009/3/10,2505.93,2601.5,2498.249,2601.417,100
2009/3/11,2646.61,2655.216,2574.999,2587.371,100
2009/3/12,2572.389,2604.785,2507.233,2597.232,100
2009/3/13,2606.879,2625.61,2564.151,2569.629,100
2009/3/16,2563.022,2604.002,2539.912,2603.058,100
2009/3/17,2608.228,2708.351,2594.122,2699.594,100
2009/3/18,2711.166,2778.148,2707.792,2734.547,100
2009/3/19,2737.375,2797.155,2733.701,2797.155,100
2009/3/20,2799.794,2802.712,2731.708,2784.106,100
2009/3/23,2784.889,2846.632,2779.702,2843.879,100
2009/3/24,2871.44,2877.452,2835.198,2865.333,100
2009/3/25,2849.916,2873.133,2785.553,2785.664,100
2009/3/26,2784.891,2853.506,2746.795,2853.411,100
2009/3/27,2871.391,2894.513,2852.927,2877.88,100
2009/3/30,2880.534,2904.591,2866.863,2883.214,100
2009/3/31,2825.931,2914.202,2808.605,2914.128,100
2009/4/1,2924.393,2978.096,2924.31,2962.839,100
2009/4/2,2972.739,2996.387,2952.762,2965.735,100
2009/4/3,2983.219,2990.066,2909.828,2934.253,100
2009/4/7,2941.389,2968.525,2925.744,2968.519,100
2009/4/8,2959.809,2969.814,2867.168,2867.168,100
2009/4/9,2862.107,2915.073,2838.627,2915.024,100
2009/4/10,2932.013,3012.25,2921.613,3009.376,100
2009/4/13,3030.701,3055.649,3019.157,3050.372,100
2009/4/14,3047.771,3102.785,3031.589,3099.429,100
2009/4/15,3084.043,3143.821,3055.253,3143.821,100
2009/4/16,3151.003,3182.579,3097.536,3159.26,100
2009/4/17,3152.36,3171.861,3083.64,3119.419,100
2009/4/20,3111.474,3205.884,3109.896,3205.884,100
2009/4/21,3173.533,3225.106,3142.119,3205.076,100
2009/4/22,3219.339,3235.449,3021.413,3042.638,100
2009/4/23,3013.086,3080.254,2978.653,3059.709,100
2009/4/24,3070.352,3082.5,3034.448,3036.761,100
2009/4/27,3034.238,3042.797,2903.3,2916.114,100
2009/4/28,2900.089,2959.952,2897.803,2959.952,100
2009/4/29,2963.206,3043.407,2954.855,3040.04,100
2009/4/30,3051.14,3096.762,3040.749,3086.217,100
2009/5/4,3096.389,3190.266,3096.389,3190.254,100
2009/5/5,3208.273,3234.133,3183.388,3220.615,100
2009/5/6,3215.6,3264.579,3204.307,3264.579,100
2009/5/7,3278.985,3285.772,3177.949,3242.626,100
2009/5/8,3227.217,3274.572,3196.786,3257.588,100
2009/5/11,3269.022,3275.118,3134.44,3134.573,100
2009/5/12,3105.859,3212.176,3101.316,3212.139,100
2009/5/13,3215.968,3247.843,3201.025,3234.151,100
2009/5/14,3211.21,3256.529,3200.113,3246.557,100
2009/5/15,3255.449,3285.446,3238.675,3270.738,100
2009/5/18,3265.005,3297.539,3211.388,3295.651,100
2009/5/19,3313.908,3338.252,3302.754,3325.531,100
2009/5/20,3328.121,3343.659,3302.743,3306.474,100
2009/5/21,3288.24,3309.316,3225.548,3247.475,100
2009/5/22,3235.413,3283.502,3227.189,3254.534,100
2009/5/25,3176.158,3277.685,3152.543,3271.501,100
2009/5/26,3274.63,3319.12,3271.906,3274.849,100
2009/5/27,3287.989,3300.223,3241.219,3276.748,100
2009/6/1,3302.004,3335.069,3296.116,3332.337,100
2009/6/2,3346.072,3366.736,3333.459,3353.922,100
2009/6/3,3351.778,3380.359,3346.968,3380.188,100
2009/6/4,3373.381,3384.36,3321.272,3375.873,100
